words,Type,surp_UD,surp_HD,item_id,cond
बहुत,,0.61535,0.66154,3,d
महंगी,,0.2836,0.35136,3,d
हैं,,0.54218,0.44804,3,d
।,,0.13882,0.02667,3,d
वह,,0.0007,0.10484,4,a
बच्ची,,0.19422,0.88503,4,a
जिसने,,0.00976,0.05763,4,a
मिठाई,,0.08797,0.40182,4,a
आराम,,0.90671,2.28668,4,a
से,,0.01589,0.12512,4,a
खायी,,1.35894,0.1672,4,a
थी,,0.00268,0.00469,4,a
मेरी,,0.21036,0.8395,4,a
बहन,,0.18636,0.86528,4,a
है,,0.47904,0.92933,4,a
।,,0.49805,0.32072,4,a
वह,,0.0007,0.10484,4,b
बच्ची,,0.19422,0.88503,4,b
जिसने,,0.00976,0.05763,4,b
आराम,,1.09377,0.58794,4,b
से,,0.01579,0.1229,4,b
खायी,,1.10644,0.22487,4,b
थी,,0.00268,0.00469,4,b
मिठाई,,0.14257,0.66161,4,b
मेरी,,0.48026,1.42309,4,b
बहन,,0.18892,0.72817,4,b
है,,0.47904,0.92933,4,b
।,,0.49805,0.32072,4,b
वह,,0.0007,0.10484,4,c
मिठाई,,0.19432,0.88503,4,c
जिसको,,0.00976,0.05763,4,c
उस,,0.02457,0.08714,4,c
बच्ची,,0.64492,1.15604,4,c
ने,,0.01597,0.15816,4,c
आराम,,0.67732,0.64008,4,c
से,,0.01701,0.1291,4,c
खाया,,1.6171,0.27584,4,c
था,,0.00266,0.00441,4,c
बहुत,,0.11202,0.38282,4,c
मीठी,,0.18837,0.36557,4,c
होती,,0.22217,0.11787,4,c
है,,0.09077,0.13444,4,c
।,,0.51932,0.48211,4,c
वह,,0.0007,0.10484,4,d
मिठाई,,0.19432,0.88503,4,d
जिसको,,0.00976,0.05763,4,d
आराम,,1.09325,0.58794,4,d
से,,0.01579,0.1229,4,d
खाया,,1.10615,0.22398,4,d
था,,0.00266,0.00441,4,d
उस,,0.22304,0.67728,4,d
बच्ची,,0.173,0.66355,4,d
ने,,0.17269,0.31225,4,d
बहुत,,0.5707,0.70278,4,d
मीठी,,0.23696,0.38314,4,d
होती,,0.22217,0.11787,4,d
है,,0.09077,0.13444,4,d
।,,0.51932,0.48211,4,d
वह,,0.0007,0.10484,5,a
औरत,,0.19432,0.88503,5,a
जिसने,,0.00975,0.05763,5,a
नाव,,1.09379,0.58196,5,a
पिछले,,0.04541,0.51162,5,a
हफ्ते,,0.62191,2.45073,5,a
खरीदी,,1.30119,0.16514,5,a
थी,,0.00554,0.00428,5,a
इस,,0.32624,0.94919,5,a
गाँव,,0.30736,0.56795,5,a
की,,0.1476,0.24776,5,a
सरपंच,,0.77966,0.91117,5,a
है,,0.34786,0.88814,5,a
।,,0.7259,0.21622,5,a
वह,,0.0007,0.10484,5,b
औरत,,0.19432,0.88503,5,b
जिसने,,0.00975,0.05763,5,b
पिछले,,0.09418,0.5069,5,b
हफ्ते,,0.95047,1.79677,5,b
खरीदी,,1.36425,0.16514,5,b
थी,,0.00554,0.00428,5,b
नाव,,0.27343,0.58628,5,b
इस,,0.59706,1.25179,5,b
गाँव,,0.30949,0.59755,5,b
की,,0.1476,0.24776,5,b
सरपंच,,0.77966,0.91117,5,b
है,,0.34786,0.88814,5,b
।,,0.7259,0.21622,5,b
वह,,0.0007,0.10484,5,c
नाव,,0.1945,0.88503,5,c
जिसको,,0.00978,0.05763,5,c
उस,,0.02457,0.08714,5,c
औरत,,0.64455,1.15604,5,c
ने,,0.01598,0.15816,5,c
पिछले,,0.03214,0.484,5,c
हफ्ते,,0.48708,2.48666,5,c
खरीदा,,1.60419,0.16516,5,c
था,,0.00549,0.00404,5,c
बहुत,,0.20176,0.33843,5,c
प्रसिद्ध,,0.28327,0.33271,5,c
है,,0.61513,0.51665,5,c
।,,0.1708,0.02581,5,c
वह,,0.0007,0.10484,5,d
नाव,,0.1945,0.88503,5,d
जिसको,,0.00978,0.05763,5,d
पिछले,,0.09426,0.5069,5,d
हफ्ते,,0.95108,1.79677,5,d
खरीदा,,1.36252,0.16516,5,d
था,,0.00549,0.00404,5,d
उस,,0.28135,0.76502,5,d
औरत,,0.3037,0.60303,5,d
ने,,0.17273,0.31225,5,d
बहुत,,0.66034,0.65839,5,d
प्रसिद्ध,,0.33188,0.35028,5,d
है,,0.61513,0.51665,5,d
।,,0.1708,0.02581,5,d
वह,,0.0007,0.10484,6,a
लड़की,,0.19412,0.88503,6,a
जिसने,,0.00976,0.05763,6,a
कविता,,1.0937,0.58196,6,a
सारे,,0.05217,0.1762,6,a
लोगो,,0.55578,2.59854,6,a
के,,0.01077,0.09423,6,a
सामने,,0.17877,0.5674,6,a
गायी,,1.31265,0.1804,6,a
थी,,0.00403,0.00421,6,a
बहुत,,0.15505,0.33823,6,a
गरीब,,0.23389,0.33374,6,a
है,,0.61197,0.51654,6,a
।,,0.13219,0.02457,6,a
वह,,0.0007,0.10484,6,b
लड़की,,0.19412,0.88503,6,b
जिसने,,0.00976,0.05763,6,b
सारे,,0.08376,0.15555,6,b
लोगो,,0.8509,1.74404,6,b
के,,0.01042,0.09423,6,b
सामने,,0.17576,0.5674,6,b
गायी,,1.37606,0.1804,6,b
थी,,0.00403,0.00421,6,b
कविता,,0.20557,0.58595,6,b
बहुत,,0.45944,0.58763,6,b
गरीब,,0.2359,0.34101,6,b
है,,0.61197,0.51654,6,b
।,,0.13219,0.02457,6,b
वह,,0.0007,0.10484,6,c
कविता,,0.19439,0.88503,6,c
जिसको,,0.00978,0.05763,6,c
उस,,0.02457,0.08714,6,c
लड़की,,0.64537,1.15604,6,c
ने,,0.01598,0.15816,6,c
सारे,,0.03715,0.17022,6,c
लोगो,,0.46504,2.64255,6,c
के,,0.01077,0.09423,6,c
सामने,,0.17877,0.5674,6,c
गाया,,1.61646,0.18026,6,c
था,,0.00399,0.00397,6,c
काफी,,0.15545,0.26215,6,c
पुरानी,,0.23314,0.33854,6,c
है,,0.61258,0.51914,6,c
।,,0.13218,0.02457,6,c
वह,,0.0007,0.10484,6,d
कविता,,0.19439,0.88503,6,d
जिसको,,0.00978,0.05763,6,d
सारे,,0.08384,0.15555,6,d
लोगो,,0.85143,1.74404,6,d
के,,0.01042,0.09423,6,d
सामने,,0.17576,0.5674,6,d
गाया,,1.3752,0.18026,6,d
था,,0.00399,0.00397,6,d
उस,,0.25091,0.7638,6,d
लड़की,,0.23588,0.60339,6,d
