item	roi	word	surprisal	retrieval
82	7	पेड़	0.86408	482.6159493843909
82	8	के	0.21854	145.61710593058092
82	9	नीचे	0.94146	200.05665267703785
82	10	बनायी	0.25659	460.95861220714687
82	11	थी	0.22499	123.30855296529035
82	12	यहाँ	1.89095	651.9595178032673
82	13	कई	1.01586	319.7309539246585
82	14	सालों	0.64890	861.9447721712245
82	15	से	0.25803	167.9256588958715
82	16	काम	0.93270	1227.2530947751657
82	17	कर	0.25321	845.6523465086539
82	18	रहा	0.17850	145.6171059305807
82	19	है	0.15021	298.1699580311133
82	20	।	0.51264	459.23704222681863
84	1	वह	0.03664	51.0
84	2	बढ़ई	0.09547	224.30855296529046
84	3	जिसने	0.91186	145.6171059305808
84	4	नीम	0.73193	200.05665267703773
84	5	के	0.24431	123.30855296529046
84	6	पेड़	0.85786	356.5628739731528
84	7	के	0.21854	145.61710593058092
84	8	नीचे	0.94146	200.05665267703785
84	9	बनायी	0.25659	428.17890196136955
84	10	थी	0.22499	123.30855296529035
84	11	अलमारी	1.07117	606.6564049991659
84	12	यहाँ	1.44343	613.0012200705542
84	13	कई	1.05130	323.33094283029004
84	14	सालों	0.64890	876.0169985204998
84	15	से	0.25803	167.9256588958715
84	16	काम	0.93270	1244.1692790786738
84	17	कर	0.25321	855.7197733524608
84	18	रहा	0.17850	145.6171059305807
84	19	है	0.15021	298.1699580311133
84	20	।	0.51264	462.43823826709195
86	1	वह	0.03664	51.0
86	2	अलमारी	0.09547	224.30855296529046
86	3	जिसको	0.91186	145.6171059305808
86	4	उस	0.98728	101.0
86	5	बढ़ई	0.63322	288.39836723572216
86	6	ने	0.31225	123.30855296529046
86	7	नीम	0.90681	378.7368689008632
86	8	के	0.21854	145.61710593058092
86	9	पेड़	0.90233	543.2418078275439
86	10	के	0.21854	167.92565889587104
86	11	नीचे	0.94146	202.2274140710133
86	12	बनाया	0.25611	497.158967809924
86	13	था	0.21921	123.30855296529035
86	14	लकड़ी	1.07088	870.1154793418223
86	15	की	0.22122	720.0923678948661
86	16	है	0.13944	145.6171059305807
86	17	।	0.46937	412.94541956492503
88	1	वह	0.03664	51.0
88	2	अलमारी	0.09547	224.30855296529046
88	3	जिसको	0.91186	145.6171059305808
88	4	नीम	0.73193	200.05665267703773
88	5	के	0.24431	123.30855296529046
